id,title,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,variety,winery
729,Herdade Grande 2015 Audaz Branco White,Portugal,"The wine is ripe with apple and creamed pear flavors. It is warm, rich and missing acidity. There is an attractive almond and spice character to this ripe wine. Drink now.",Audaz Branco,85,10.0,Alentejano,,,Roger Voss,@vossroger,Portuguese White,Herdade Grande
730,Jack's House 2013 Cabernet Sauvignon,US,"This wine looks, smells and tastes on the light side. Herb and red-cherry aromas precede rather lean flavors from cherry to clove and dill, and a brisk texture with some tannic grip.",,85,16.0,California,California,California Other,Jim Gordon,@gordone_cellars,Cabernet Sauvignon,Jack's House
731,Kiwi Cuvée 2014 Bin 068 Chardonnay,France,"Here is a simple but tasty Chard, offering attractive notes of pear, spiced orange and toasted apple skin on the nose and mouth. It's light weight and well balanced, with ample acidity and a short but clean finish. Enjoy now.",Bin 068,85,10.0,France Other,Vin de France,,Lauren Buzzeo,@laurbuzz,Chardonnay,Kiwi Cuvée
732,Domaine Michel Goubard 2014 Mont-Avril,France,"This is a soft and jammy wine with attractive ripe strawberry fruit and only the lightest structure. It is gentle, rounded and ready to drink.",Mont-Avril,85,22.0,Burgundy,Côte Chalonnaise,,Roger Voss,@vossroger,Pinot Noir,Domaine Michel Goubard
733,Domaine Poulleau Père et Fils 2014  Chorey-lès-Beaune,France,"This wine is extracted and tough. The acidity does come through to help out, although it still has a hard edge with some bitter toast. It will soften, leaving some perfumed fruit for the future.",,85,40.0,Burgundy,Chorey-lès-Beaune,,Roger Voss,@vossroger,Pinot Noir,Domaine Poulleau Père et Fils
734,Durigutti 2014 Bonarda,Argentina,"Raisiny and earthy on the nose, this Bonarda also offers damp aromas of fern and tobacco. Chunky, with a soft, flat palate, this tastes raisiny and stewed. Low acidity and raisiny flavors on the finish are consistent with what came before.",,85,15.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Bonarda,Durigutti
735,El Esteco 2015 Don David Reserve Torrontés,Argentina,"Oily, gritty aromas of almond skins set up a pungent but oily tasting palate. Core fruit flavors lean towards sour grapefruit and orange, while the finish is tangy, salty and sour through the last note.",Don David Reserve,85,17.0,Other,Calchaquí Valley,,Michael Schachner,@wineschach,Torrontés,El Esteco
736,Felten Cellars 2013 Tempranillo,US,"A rare miss for this winery, this bottling shows cooked red cherries, dust, vanilla and caramel on the somewhat hollow nose. The palate is almost overly rich with caramelized black cherry, fudge and chalky tannins. Patience will likely improve this one.",,85,32.0,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Tempranillo,Felten Cellars
737,Wines & Winemakers 2015 Casa Ermelinda Freitas Monte de Baía Rosé,Portugal,"This raspberry-flavored wine is soft and ripe. While it is fruity, it also has a nutty character that gives it a rich taste. It's dry and in a style that will make it better with food than by itself.",Casa Ermelinda Freitas Monte de Baía,85,12.0,Península de Setúbal,,,Roger Voss,@vossroger,Rosé,Wines & Winemakers
738,Lagarde 2013 Henry Legarde Malbec,Argentina,"Roasted, stewed berry aromas are rustic and suggestive of grilled meat. This is high in acidity, and thus it feels sharp and edgy. Flavors of forced oak, related spice and tart plum end with a scraping, tannic feel and herbal berry flavors.",Henry Legarde,85,17.0,Mendoza Province,Luján de Cuyo,,Michael Schachner,@wineschach,Malbec,Lagarde
739,Marchesi di Barolo 2009 Riserva,Italy,"Roasted coffee bean and menthol aromas lead the nose while the evolved palate offers dark bitter chocolate, licorice and a toasted note. Showing the heat of the vintage, the fruit has largely dried up while astringent tannins lead to a bracing finish.",Riserva,85,102.0,Piedmont,Barolo,,Kerin O’Keefe,@kerinokeefe,Nebbiolo,Marchesi di Barolo
740,McPherson 2014 Sangiovese,US,"There seems to be a dusty veil over the fruit of this sold, approachable Sangiovese. A bit of sweet spice creeps up on the palate, making it enjoyable by itself or paired alongside pizza Tuesday.",,85,,Texas,Texas,,Alexander Peartree,,Sangiovese,McPherson
741,Patriarche Père et Fils 2014  Coteaux Bourguignons,France,This light and fruity wine offers soft tannins and an earthy character. The wine comes mainly from Beaujolais with 15% of Pinot Noir from the Mâcon region. Drink now.,,85,10.0,Burgundy,Coteaux Bourguignons,,Roger Voss,@vossroger,Pinot Noir-Gamay,Patriarche Père et Fils
742,Paul Reitz 2014  Saint-Véran,France,"This wine has acidity and a good balance between the fresh, crisp character and the richer yellow fruits. It is ready to drink.",,85,20.0,Burgundy,Saint-Véran,,Roger Voss,@vossroger,Chardonnay,Paul Reitz
743,Pech Merle 2013 Treborce Vineyard Zinfandel,US,"Ripe plum and plenty of vanilla and cherry provide the perception of sweetness in this wine. That sensation may stem from the pushing-the-envelope generosity of the ripe fruit or from the oak. or both. It makes for a full-bodied, heady experience.",Treborce Vineyard,85,33.0,California,Dry Creek Valley,Sonoma,Virginie Boone,@vboone,Zinfandel,Pech Merle
744,Punset 2011 Campo Quadro Riserva,Italy,"This opens with unusual aromas that recall minestrone soup, celery and glazed onion that carry over to the palate. It lacks fruit richness and is rather muddled, offering flavors reminiscent of sweet and sour sauce. Tasted both bottles, same notes.",Campo Quadro Riserva,85,48.0,Piedmont,Barbaresco,,Kerin O’Keefe,@kerinokeefe,Nebbiolo,Punset
745,Ribafreixo 2015 Pato Frio Antão Vaz,Portugal,"The grape is local to the Vidigueira region of the southern Alentejo. Coming from cool vineyards, the wine has a fresh character that is balanced by the ripe melon and juicy pear fruits. It has a crisper end and is ready to drink.",Pato Frio,85,12.0,Alentejo,,,Roger Voss,@vossroger,Antão Vaz,Ribafreixo
746,Jacob's Creek 2015 Classic Pinot Grigio,Australia,"Melon and citrus aromas and flavors mingle easily in this cleanly made quaffer. It's a bit plump on the palate, yet refreshing on the lemon-lime finish.",Classic,85,9.0,Australia Other,South Eastern Australia,,Joe Czerwinski,@JoeCz,Pinot Grigio,Jacob's Creek
747,William Knuttel 2007 Pinot Noir,US,"A nice Pinot Noir, dry and elegant, and if it's somewhat one-dimensional, it packs a lot of flavor. With rich raspberry, red licorice, bacon and spice flavors, it's a lovely wine to drink now.",,87,24.0,California,Sonoma Coast,Sonoma,,,Pinot Noir,William Knuttel
748,Casa Larga 2008 Fiori Delle Stelle Ice Wine Cabernet Franc,US,"The sweet scent of raspberry and strawberry preserves waft from this Cab Franc icewine from Casa Larga. On the palate as well, there's a nice concentration of preserved berry flavors that soar on the palate with a bright, sunny acidity. Finishes clean and long with just a hint of autumn leaves and bramble.",Fiori Delle Stelle Ice Wine,87,75.0,New York,Finger Lakes,Finger Lakes,Anna Lee C. Iijima,,Cabernet Franc,Casa Larga
749,Cave de Beblenheim 2009 Baron de Hoen Riesling,France,"A soft style of Riesling, with some attractive aromatic white flower character. The fruit is soft, just off dry, freshened by acidity. Screwcap.",Baron de Hoen,87,12.0,Alsace,Alsace,,Roger Voss,@vossroger,Riesling,Cave de Beblenheim
750,De Loach 2008 Thornton Vineyard Pinot Noir,US,"Soft and appealing, this Pinot offers lush, elaborate flavors of raspberry and cherry pie filling, mocha and sandalwood flavors, finished with sweet, dusty Indian spices. It's made for drinking now.",Thornton Vineyard,87,45.0,California,Sonoma Coast,Sonoma,,,Pinot Noir,De Loach
751,De Martino 2010 347 Vineyards Sauvignon Blanc,Chile,"A little hard at first, with match stick aromas. After that blows off, there's green fruit notes carrying the nose. Full in the mouth, with acidic cut and spunky flavors of nectarine and orange. Finishes round, with citrus and passion fruit.",347 Vineyards,87,13.0,Central Valley,,,Michael Schachner,@wineschach,Sauvignon Blanc,De Martino
752,Dopff Au Moulin 2009 Gewürztraminer,France,"Blowsy, lychee aromas, a wine that is ripe, soft, open, with a light touch of acidity. Pepper and sweet spices fit well into this easy profile. Screwcap.",,87,,Alsace,Alsace,,Roger Voss,@vossroger,Gewürztraminer,Dopff Au Moulin
753,Center of Effort 2008 Effort Chardonnay,US,"With brisk Edna Valley acidity and intensely pure Chardonnay fruit flavors of tangerines, limes and sweet Meyer lemon sour candy, this is a pleasant sipper with roasted or grilled salmon, or a barbecue chicken or pork skewer with pineapples, green peppers and onions.",Effort,87,22.0,California,Edna Valley,Central Coast,,,Chardonnay,Center of Effort
754,El Coto 2010 Viura,Spain,"Pulpy and also minerally on the nose, with basic white fruit aromas. Zesty, crisp and defined by slate and lime in the mouth, with apple, lime and dryness to the flavor profile. A composed little white wine for simple sipping or white sangria.",,87,10.0,Northern Spain,Rioja,,Michael Schachner,@wineschach,Viura,El Coto
755,Handley 2009 Gewürztraminer,US,"Shows the perfect balance and varietal richness that Anderson Valley Gewürztraminers are known for. With crisp acidity, it has exotic flavors of Asian pears, candied pears, tangerines, gingersnap cookies and dusty spices, with a dry finish. Would score much higher if it were more concentrated.",,87,18.0,California,Anderson Valley,,,,Gewürztraminer,Handley
756,Kuleto Estate 2008 Zinfandel,US,"A good, rich, flashy Zinfandel. There's not much to get excited about, but it delivers Zin's personality in a most attractive way. It's spicy, rich and sweet in cherry, raspberry, cocoa, honey and spice flavors.",,87,35.0,California,Napa Valley,Napa,,,Zinfandel,Kuleto Estate
757,Lane Tanner 2009 Julia's Vineyard Pinot Noir,US,"Funky, with mushroom and sweaty leather aromas that can best be described as Burgundian. But it's richly sweet in raspberries and cherries, and the smoky oak is nicely integrated with the fruit. A pleasant Pinot Noir to drink now.",Julia's Vineyard,87,36.0,California,Santa Maria Valley,Central Coast,,,Pinot Noir,Lane Tanner
758,MacRostie 2008 Pinot Noir,US,"This is a dry, elegant young Pinot Noir. It's rich in acidity, and the cherry and cola flavors are sprinkled with zesty white pepper. Seems to be giving its best now.",,87,34.0,California,Sonoma Coast,Sonoma,,,Pinot Noir,MacRostie
759,"Monte De Oro 2006 Reserve, Vista del Monte Vineyard Syrah",US,"A big burly Syrah from this Temecula producer whose goal it is to become the premier winery of Southern California, the wine is loaded with plummy black fruit and a peppery mouthfeel, its oakiness derived from the almost three years it spent barrel-aging in new French oak. Not for the meek at 15.6% alcohol, it finishes a tad sweet.","Reserve, Vista del Monte Vineyard",87,70.0,California,Temecula Valley,South Coast,Virginie Boone,@vboone,Syrah,Monte De Oro
760,Mounts 2008 Estate Grown Syrah,US,"The blackberry, blueberry, bacon, pepper and sandalwood flavors are nice, and the wine finishes dry. A good, rich Syrah for drinking now if you're looking for a full-bodied and tannic red wine. Give it a brief decant.",Estate Grown,87,28.0,California,Dry Creek Valley,Sonoma,,,Syrah,Mounts
761,Ninquén 2009 Antu Cabernet Sauvignon-Carmenère,Chile,"Cola, root beer and other earthy aromas open up this full-bodied blend of 70% Cabernet and 30% Carmenère. The palate shows pointed, prickly acidity and flavors of black cherry and cassis. Offers a rich flavor profile but the acidity creates bite and sharpness.",Antu,87,19.0,Colchagua Valley,,,Michael Schachner,@wineschach,Cabernet Sauvignon-Carmenère,Ninquén
762,Oro de Castilla 2010 Solo Verdejo,Spain,"Round and good by Rueda standards, with melon and peach aromas but not too much citrus. The palate is full and chunky, with papaya, melon and a touch of pithy bitterness. More regular than special, but good and goes down easy before finishing dry.",Solo,87,14.0,Northern Spain,Rueda,,Michael Schachner,@wineschach,Verdejo,Oro de Castilla
763,Pablo del Villar 2010 Ipsum Verdejo-Viura,Spain,"White fruits, flower blossom and a touch of brine work the nose, which is followed by flush, semisweet apple, gooseberry and lime flavors. More sweet than outright tangy, but still citrusy and zesty. Holds form on the crisp finish. 60% Verdejo and 40% Viura.",Ipsum,87,10.0,Northern Spain,Rueda,,Michael Schachner,@wineschach,Verdejo-Viura,Pablo del Villar
764,Pax 2007 Cuvée Christine Syrah,US,"A touch overripe, showing some bitter, dried raisinskin notes. If you can get past that, you'll find plenty of rich blackberry, dark chocolate, plum, beef jerky and black pepper flavors.",Cuvée Christine,87,45.0,California,North Coast,North Coast,,,Syrah,Pax
765,Robert Foley 2008 The Griffin Red,US,"Ripe enough in blackberries, currants and mocha, with an earthy, tobacco herbaceousness. The tannins are potent, making the wine hard. Drink now, after a good decanting.",The Griffin,87,32.0,California,Napa Valley,Napa,,,Red Blend,Robert Foley
766,42°S 2008 Pinot Noir,Australia,"Light, fresh and silky—just what might be expected from cool-climate Pinot Noir. A pleasant earthiness underscores prettily interwoven strands of herbs and cherries. It's exciting to see the burgeoning quality of the wines coming out of Tasmania.",,87,18.0,Tasmania,Tasmania,,Joe Czerwinski,@JoeCz,Pinot Noir,42°S
767,Manyana 2008 Tempranillo,Spain,"Aromas of red licorice candy and raspberry are fruity, forward and clean. The palate is more than competent and balanced, with creamy strawberry and raspberry flavors. The finish is short but easy, and for the price that's all you can ask for.",,87,9.0,Northern Spain,Cariñena,,Michael Schachner,@wineschach,Tempranillo,Manyana
768,McWilliam's Hanwood Estate 2008 Cabernet Sauvignon,Australia,"A good value in easy-to-drink Cabernet, McWilliam's 2008 is plummy and chocolaty, with soft tannins and a velvety finish. A bit simple perhaps, but definitely satisfying. Drink now.",,87,11.0,Australia Other,South Eastern Australia,,Joe Czerwinski,@JoeCz,Cabernet Sauvignon,McWilliam's Hanwood Estate
769,Paternoster 2007 Synthesi,Italy,"Here's a jammy, overtly ripe expression of Aglianico that ultimately proves to be an easier and more immediate expression of this naturally tannic grape variety. Aromas include candied fruit, blackberry preserves, raw cherry and raisin.",Synthesi,87,30.0,Southern Italy,Aglianico del Vulture,,,,Aglianico,Paternoster
770,G. H. Mumm NV Mumm de Cramant Blanc de Blancs Chardonnay,France,"Now with its intensity and some bottle age, this wine—formerly known as Crémant de Cramant—is rich, with its apple flavor blending with an almond note and a soft, warm texture. The acidity shoots right through this ripe wine.",Mumm de Cramant Blanc de Blancs,92,62.0,Champagne,Champagne,,Roger Voss,@vossroger,Chardonnay,G. H. Mumm
771,Iron Horse 2007 Ocean Reserve Sparkling,US,"A beautiful sparkling wine that shows the Iron Horse signature of balanced elegance. The lime, raspberry, vanilla and brioche flavors are rich and intricate, but particularly lovely is the texture, which is soft and silky.",Ocean Reserve,92,40.0,California,Green Valley,Sonoma,,,Sparkling Blend,Iron Horse
772,Jean Milan NV Grande Réserve Blanc de Blancs Grand Cru Brut Chardonnay,France,"Fight your way through the string and wax sealing that holds down the cork, and you'll discover a wine that is rich, full and opulent. The ripe peach character is balanced with the delicious toasty edge and final bright acidity. Ready to drink.",Grande Réserve Blanc de Blancs Grand Cru Brut,92,66.0,Champagne,Champagne,,Roger Voss,@vossroger,Chardonnay,Jean Milan
773,Monte da Penha 2005 Grande Reserva Red,Portugal,"Powerful and concentrated, this is just at its peak. Ripe, rich fruit and tarry tannins give it freshness and a dry core. It's solid and serious, a dense wine that calls for equally rich food. Drink it now while it's at its prime.",Grande Reserva,92,32.0,Alentejo,,,Roger Voss,@vossroger,Portuguese Red,Monte da Penha
774,Patton Valley 2010 Lorna Marie Pinot Noir,US,"The Lorna Marie is the winery's reserve, and it has exceptional concentration and depth. Berry and cherry dominate, spiced up with a pumpkin pie accent. Round, rich and full, yet moderate in alcohol, this is a fine expression of Oregon Pinot Noir in a challenging vintage.",Lorna Marie,92,70.0,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Pinot Noir,Patton Valley
775,Patton Valley 2010 West Block Pinot Noir,US,"All the 2010 Patton Valley Pinots are significantly lower in alcohol than the previous vintage, and it works to their advantage. Nuanced fruit flavors include rhubarb and tart cherry, with veins of cola and dark chocolate adding further complexity. Its length is excellent.",West Block,92,48.0,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Pinot Noir,Patton Valley
776,Pierre Gimonnet et Fils 2005 Oenophile Premier Cru Blanc de Blancs Extra Brut Chardonnay,France,"The extra age on this bone-dry wine has paid off, as the taut character of a young wine has been tempered with toast, creating a round feeling. It is perfectly in harmony now, beautiful and crisp.",Oenophile Premier Cru Blanc de Blancs Extra Brut,92,72.0,Champagne,Champagne,,Roger Voss,@vossroger,Chardonnay,Pierre Gimonnet et Fils
777,Scubla 2008 Cràtis Verduzzo,Italy,"Verduzzo is a very interesting grape that tends to exude oxidized aromas of candied fruit, butterscotch and carmel. But when made well, as in the case of this selection, it offers power, concentration and natural richness as well.",Cràtis,92,18.0,Northeastern Italy,Colli Orientali del Friuli,,,,Verduzzo,Scubla
778,Adelsheim 2010 Winderlea Vineyard Pinot Noir,US,"The Winderlea is perhaps the most unique in terms of style and flavor among all the 2010 Adelsheim single-vineyard Pinots. Its distinctive minerality accompanies tart cranberry and cherry notes, citrusy acidity with a splash of grapefruit flavor, and a finish that tastes of coffee and tea. Complex and long, this is a wine that will surely spark some heated discussion.",Winderlea Vineyard,92,105.0,Oregon,Dundee Hills,Willamette Valley,Paul Gregutt,@paulgwine ,Pinot Noir,Adelsheim
779,Bruno Paillard 2002 Assemblage Brut,France,"This is a powerful, almost concentrated, very dry selection. Its richness comes from the weight of its fruit flavors and the tight tang of its intense acidity. From a fine vintage, it could still age for several more years. Disgorged July 2011.",Assemblage Brut,92,101.0,Champagne,Champagne,,Roger Voss,@vossroger,Champagne Blend,Bruno Paillard
780,Castello d'Albola 2003  Vin Santo del Chianti Classico,Italy,"Thanks to eight years in Vin Santo's traditional caratelli barrels, this sweet blend of Trebbiano and Malvasia offers a dark, golden-amber color, bearing intense aromas of dried apricot, candied fruit, honey and toasted almond.",,92,50.0,Tuscany,Vin Santo del Chianti Classico,,,,White Blend,Castello d'Albola
781,Ferrari 2001 Giulio Ferrari Riserva del Fondatore Chardonnay,Italy,"A landmark wine for those who love Italian sparklers, this shows loads of ripe apricot, melon and honey notes, with toasted nut and baked bread hints in the background. There are also touches of caramel and butterscotch that help move the wine's thick and opulent texture across the palate. It ends with refreshing acidity and tonic perlage.",Giulio Ferrari Riserva del Fondatore,92,85.0,Northeastern Italy,Trento,,,,Chardonnay,Ferrari
782,Laetitia 2008 Cuvée M Sparkling,US,"There's a honeyed accent to this sparkler, with tangerine, lime, buttered toast and yeasty flavors that are savory and complex. The mouthfeel is wonderfully soft and creamy. A great success for Laetitia, at a good price.",Cuvée M,92,35.0,California,Arroyo Grande Valley,Central Coast,,,Sparkling Blend,Laetitia
783,Bella 2009 Big River Ranch Zinfandel,US,"This is dry, rich, heady, spicy and utterly delicious. As usual, it contains a splash of Petite Sirah. Already throwing some sediment, it's pretty tannic, with complex flavors of wild blackberry and blueberry, black currant, licorice, cola, bacon and plum sauce, with a hint of exotic pepper and spice. This great Zinfandel is a joy to drink.",Big River Ranch,92,38.0,California,Alexander Valley,Sonoma,,,Zinfandel,Bella
784,Quinta do Sagrado 2008 VT '08 Red,Portugal,"This mature wine has a soft, smooth character and ripe fruit. With its red-berry flavors and gentle tannins, it's very ready to drink. The blend is dominated by Touriga Nacional from an estate at the heart of the Douro vineyards in Pinhão.",VT '08,90,32.0,Douro,,,Roger Voss,@vossroger,Portuguese Red,Quinta do Sagrado
785,San Pedro de Yacochuya 2012 Red,Argentina,"This is a highly particular, funky blend of 85% Malbec and 15% Cabernet. It opens with savory stewy earthy aromas of berry fruits and prune. Due to the 15.5% abv, this feels heavy and clampy, with rooty flavors of baked berry fruits, cola, minty herbs and carob. An oaky spicy toasty finish with heat is the closing act on this fully stuffed Salta blend.",,90,25.0,Other,Salta,,Michael Schachner,@wineschach,Red Blend,San Pedro de Yacochuya
786,Sobredos 2012 Aneto Tinto Red,Portugal,"A ripe and structured wine, this has bold black fruits and balanced tannins that still need to soften. It has good potential with rich fruits and a tight mineral texture. Drink from 2018.",Aneto Tinto,90,12.0,Douro,,,Roger Voss,@vossroger,Portuguese Red,Sobredos
787,St. Supéry 2013 Rutherford Estate Vineyard Cabernet Sauvignon,US,"Robust black fruit forms around a dense, leathery core of concentration and richness before allowing room for softer, intertwined tannins to add structure and more depth. Chocolate marks the finish of this big, bold wine.",Rutherford Estate Vineyard,90,125.0,California,Rutherford,Napa,Virginie Boone,@vboone,Cabernet Sauvignon,St. Supéry
788,Viña Cobos 2015 Bramare Marchiori Vineyard Chardonnay,Argentina,"Oaky, smoky aromas are New World all the way. Heavily toasted and creamy on the palate, this hefty full-bodied Chardonnay tastes of wood resin, spiced apple and peach. Solid acidity keep this in line, while a lasting wave of toasty oak pushes the finish.",Bramare Marchiori Vineyard,90,46.0,Mendoza Province,Perdriel,,Michael Schachner,@wineschach,Chardonnay,Viña Cobos
789,Von Schleinitz 2015 Apollo Dry Riesling,Germany,"Fragrant notes of tangerine and yuzu peel abound on this citrusy dry Riesling. The palate is cutting and fresh, full of juicy white grapefruit and lime flavors. Light bodied yet satisfyingly thirst quenching, it finishes long with invigorating minerality.",Apollo Dry,90,29.0,Mosel,,,Anna Lee C. Iijima,,Riesling,Von Schleinitz
790,Barnard Griffin 2014 Signature Cabernet Sauvignon,US,"The variety is unmistakable, with notes of dried herb, dark cherry and espresso. The jammy fruit flavors are rich, with lightly grainy tannins and coffee notes on the finish. It shows a fine sense of balance.",Signature,90,17.0,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Cabernet Sauvignon,Barnard Griffin
791,Beacon Hill 2013 Chehalem Mountain Vineyard Pinot Noir,US,"Just one barrel was produced from the own-rooted vines planted almost 50 years ago. It's earthy and scented with a menthol/eucalyptus note, that carries on through. Cranberry flavor reflects the rather low alcohol, but there is no hint of unripeness or any vegetative character.",Chehalem Mountain Vineyard,90,85.0,Oregon,Chehalem Mountains,Willamette Valley,Paul Gregutt,@paulgwine ,Pinot Noir,Beacon Hill
792,Bernard Magrez 2012 La Sérénité des Grands Chênes,France,The 45% Cabernet Sauvignon in this wine gives it structure and aging potential. It is a ripe wine that is also stylish with attractive acidity and plenty of black-currant fruitiness. The wine is developing well and it should be ready to drink from 2018.,La Sérénité des Grands Chênes,90,30.0,Bordeaux,Médoc,,Roger Voss,@vossroger,Bordeaux-style Red Blend,Bernard Magrez
793,Brian Carter Cellars 2012 Tuttorosso Red,US,"This wine is a blend of Sangiovese (66%), Cabernet Sauvignon (20%) and Syrah. The aromas are brooding, with notes of earth, toast, red fruit and spice. The palate brings tart tangy cranberry flavors that linger on the finish.",Tuttorosso,90,34.0,Washington,Yakima Valley,Columbia Valley,Sean P. Sullivan,@wawinereport,Red Blend,Brian Carter Cellars
794,Buttonwood 2015 Grenache Blanc,US,"The nose of this wine combines this grape's best attributes: bright, crisp citrus redolent in grapefruit and Key lime, but with a tropical touch of guava and pineapple. The palate is broad and ripe but restrained enough, with plush mango and guava laid against a chalky backbone.",,90,22.0,California,Santa Ynez Valley,Central Coast,Matt Kettmann,@mattkettmann,Grenache Blanc,Buttonwood
795,Château Corbin 2014 Divin de Corbin,France,"This is the second wine from one of the group of chateaus with Corbin in their names. It is a tight wine, firm with tannins and with a concentrated texture and flavors of over-extraction. That said, the wine will probably develop over time into something serious with a dark, dense aftertaste.",Divin de Corbin,90,35.0,Bordeaux,Saint-Émilion,,Roger Voss,@vossroger,Bordeaux-style Red Blend,Château Corbin
796,Château Haut-Logat 2014  Haut-Médoc,France,"This is a perfumed wine, with mint flavors as well as blackberry fruits. There is still a dominant structure of tannins and the wood aging that will allow the wine to age well. The fruits give the wine weight while the aftertaste has great swathes of acidity. Drink from 2019.",,90,45.0,Bordeaux,Haut-Médoc,,Roger Voss,@vossroger,Bordeaux-style Red Blend,Château Haut-Logat
797,Château La Branne 2014  Médoc,France,"Produced from 30-year-old vines, this 55% Cabernet Sauvignon wine is firm with tannins as well as black-currant fruit. It is balanced with the potential to become a fruity wine with a soft texture. The acidity will keep it crisp and on point. Drink from 2018.",,90,20.0,Bordeaux,Médoc,,Roger Voss,@vossroger,Bordeaux-style Red Blend,Château La Branne
798,Château Mayne Vieil 2014  Fronsac,France,"With ripe Merlot dominating this fine, blackberry flavored wine, it is fruity and rich. The acidity gives a crisper edge to the wine while the tannins come from a dry core. It is a wine in progress, full of potential and likely to be ready to drink from 2018.",,90,17.0,Bordeaux,Fronsac,,Roger Voss,@vossroger,Bordeaux-style Red Blend,Château Mayne Vieil
799,Château Mille-Roses 2012  Margaux,France,"This 23-acre-estate is situated in the south of the Margaux appellation, close to classed growth Château Giscours. While not classified, it still has the ability to produce a fine ripe wine that also has great structure. Acidity and firm tannins are very present along with concentrated blackberry fruits. Drink this fine wine from 2019.",,90,45.0,Bordeaux,Margaux,,Roger Voss,@vossroger,Bordeaux-style Red Blend,Château Mille-Roses
800,Chessman 2014 Cabernet Sauvignon,US,"With black cherry, blueberry, milk chocolate and balsamic reduction offsetting the light dill herbaceousness, this wine offers surprising depth for the affordable price. The texture is soft, yet the tannins stand up to the black cherry, charcoal and black-pepper flavors.",,90,20.0,California,Santa Ynez Valley,Central Coast,Matt Kettmann,@mattkettmann,Cabernet Sauvignon,Chessman
801,Deerfield Ranch NV Tawny Estate Syrah,US,"Made entirely from Syrah grown on its property across multiple vintages, and then cave-aged six years in American oak, this is a nice dessert wine, raisiny and brimming in Christmas spice. With plenty of body and acidity, it swims effortlessly and smoothly on the palate, a bite of decadence that will work well with rich cheeses.",Tawny Estate,90,50.0,California,Sonoma Valley,Sonoma,Virginie Boone,@vboone,Syrah,Deerfield Ranch
802,Domaine Franck Besson 2014 Le Griottier,France,"This is a firm wine, balancing some solid tannins with ripe red fruits. Still young, it is packed with fruitiness and with acidity that are centered around a firm core. Drink this stylish wine from 2018.",Le Griottier,90,22.0,Beaujolais,Juliénas,,Roger Voss,@vossroger,Gamay,Domaine Franck Besson
803,Efeste 2013 Upright Klipsun Vineyard Merlot,US,"Aromas of savory herbs, mineral, exotic spice and red fruit are followed by fruit flavors that are surprisingly restrained considering the warmth of the vintage. Tart acidity livens it up. It's green for the variety but still brings enjoyment.",Upright Klipsun Vineyard,90,39.0,Washington,Red Mountain,Columbia Valley,Sean P. Sullivan,@wawinereport,Merlot,Efeste
804,Efeste 2014 Lola Evergreen Vineyard Chardonnay,US,"The aromas of mineral, spice, toast, yellow apple and lemon pith are light but enchanting. The palate is medium bodied and refined, demonstrating judicious use of oak and a lengthy finish that shows some warmth.",Lola Evergreen Vineyard,90,35.0,Washington,Ancient Lakes,Columbia Valley,Sean P. Sullivan,@wawinereport,Chardonnay,Efeste
805,Firesteed 2012 Riesling,US,"Bone dry and replete with skin flavors of pear and grapefruit pith, this is perfect for those who want to keep their alcohol consumption down without turning to a sweeter style of wine. Try it with grilled sausages and sauerkraut.",,90,15.0,Oregon,Oregon,Oregon Other,Paul Gregutt,@paulgwine ,Riesling,Firesteed
806,Iron Hub 2014 Small Lot Chardonnay,US,"Very smooth, almost thick, this is a rich wine in flavor and mouthfeel. It practically oozes over the palate, dripping with ripe pineapple, vanilla and cream, and coats every corner of the mouth before lingering through a long finish. It's full bodied, soft and concentrated.",Small Lot,90,27.0,California,Sierra Foothills,Sierra Foothills,Jim Gordon,@gordone_cellars,Chardonnay,Iron Hub
807,Kooyong 2013 Farrago Chardonnay,Australia,"Without any new oak or lees stirring, this wine's sole focus is on the fruit. Pineapple, melon and peach notes are pure and striking, supported by just hints of vanilla and cream. This medium-bodied Chardonnay finishes in a flurry of tangerine and lime.",Farrago,90,66.0,Victoria,Mornington Peninsula,,Joe Czerwinski,@JoeCz,Chardonnay,Kooyong
808,Moncaro 2015 Le Vele,Italy,"Aromas of ripe orchard fruit and chopped herb jump out of the glass. The savory palate serves up juicy Bartlett pear, green apple, citrus and a mint note while a hint of white almond adds depth. Very appealing.",Le Vele,90,32.0,Central Italy,Verdicchio dei Castelli di Jesi Classico,,Kerin O’Keefe,@kerinokeefe,Verdicchio,Moncaro
809,Finca Constancia 2011 Parcela 23 Tempranillo,Spain,"Mild raisin, black cherry, anise and burnt tire aromas lead to a plump, balanced palate that's full but not overloaded. Earthy baked black-fruit flavors show a hint of oaky coconut, while this Tempranillo finishes with depth and density.",Parcela 23,90,20.0,Central Spain,Vino de la Tierra de Castilla,,Michael Schachner,@wineschach,Tempranillo,Finca Constancia
